,country,diff_user_mean,diff_user_low,diff_user_high,idx
0,United States,0.010819745547426016,0.003204806878303934,0.019974272577777175,0
1,Canada,-0.13228861056942082,-0.14874219968797808,-0.10753315132603092,1
2,England,-0.05036336043360113,-0.09798915989158852,-0.0039132791327900485,2
3,Australia,-0.26064690395480034,-0.31597175141242984,-0.1990734463276813,3
4,Sweden,-0.16188241231822012,-0.2347476475620156,-0.08107784431137466,4
5,Netherlands,-0.16660026503567865,-0.23760448521916278,-0.10215086646278948,5
6,Romania,-0.08938405750798534,-0.20840255591053936,0.006070287539932551,6
7,Belgium,0.09689219512195084,0.016409214092139468,0.19338753387534124,7
8,Germany,-0.10282138333333356,-0.18644999999999667,0.008983333333333121,8
9,Spain,-0.5595239175257732,-0.7358075601374554,-0.36542955326460413,9
